replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
0.0,raw,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
0.0,raw,nan,1.0,1.0,1.0,0.46137327055862676,1.0,1.0,0.0,nan,nan
0.0,raw,nan,2.0,1.0,2.0,0.4848220994505191,0.8036655043090957,0.7940124479457404,0.0,nan,nan
0.0,raw,nan,3.0,1.0,3.0,0.47140513407043777,0.8170907395176237,0.8196509159544734,0.0,nan,nan
0.0,raw,nan,4.0,1.0,4.0,0.48973458068449766,0.5989434117505874,0.7026083858818585,0.0,nan,nan
0.0,raw,nan,5.0,1.0,5.0,0.5040172071030955,0.6097589946357095,0.5619897282562303,0.0,nan,nan
0.0,raw,nan,6.0,1.0,6.0,0.49748929674253856,0.6050460907780056,0.6565881313807719,0.0,nan,nan
0.0,raw,nan,7.0,1.0,7.0,0.5314506310576205,0.5910293514268431,0.5892237309120498,0.0,nan,nan
0.0,raw,nan,8.0,1.0,8.0,0.5256366822583582,0.6155554376993847,0.6528577808013896,0.0,nan,nan
0.0,raw,nan,9.0,1.0,9.0,0.6056020793353111,0.5618687501760344,0.5832225653166598,0.0,nan,nan
0.0,raw,nan,10.0,1.0,10.0,0.6075931687538932,0.7269941455148414,0.7470794061107094,0.0,nan,nan
0.0,raw,nan,11.0,1.0,11.0,0.6073537025959271,0.6905986725619441,0.7111712110999651,0.0,nan,nan
0.0,raw,nan,12.0,1.0,12.0,0.6236136219393791,0.684170087112079,0.766059383709609,0.0,nan,nan
0.0,raw,nan,13.0,2.0,1.0,0.6062956813378113,1.0,1.0,0.0,nan,nan
0.0,raw,nan,14.0,2.0,2.0,0.6129325093379785,0.6441496235759705,0.7835783065168537,0.0,nan,nan
0.0,raw,nan,15.0,2.0,3.0,0.5855711723187454,0.5792767521250439,0.7058315024627017,0.0,nan,nan
0.0,raw,nan,16.0,2.0,4.0,0.5727411293955121,0.27848143475543696,0.5847256241979542,0.0,nan,nan
0.0,raw,nan,17.0,2.0,5.0,0.48141964695660416,0.2561657832474068,0.4301053257977353,0.0,nan,nan
0.0,raw,nan,18.0,2.0,6.0,0.5097826395828289,0.16178686879542223,0.26411245360926794,0.0,nan,nan
0.0,raw,nan,19.0,2.0,7.0,0.5490527234121749,0.16693844074052278,0.5017262920518999,0.0,nan,nan
0.0,raw,nan,20.0,2.0,8.0,0.4820317586091736,0.2728008578621509,0.5845002653425637,0.0,nan,nan
0.0,raw,nan,21.0,2.0,9.0,0.3957459227458341,0.1432069034460655,0.05958610537542003,0.0,nan,nan
0.0,raw,nan,22.0,2.0,10.0,0.37038977999360706,0.12137849818179114,0.36440955000531966,0.0,nan,nan
